user_id,transfer_to,amount
15,9,6940.01
71,77,439.5
50,35,5400.83
57,62,7068.95
68,31,1250.87
65,100,924.5
6,64,335.35
98,48,456.81
37,86,4093.56
99,76,756.46
77,22,6770.02
83,55,7370.61
4,25,2677.45
32,59,2797.78
5,100,4658.72
26,51,1095.93
3,62,7518.83
18,15,3878.11
24,29,7901.31
31,14,6641.44
2,61,7754.36
16,100,1686.04
66,90,6601.95
83,90,6447.03
42,19,537.25
14,33,5074.68
86,1,5508.86
50,75,7529.45
81,54,3382.36
5,22,7649.69
77,95,4114.92
64,13,6786.84
48,51,4015.77
6,89,6587.65
7,34,3857.58
12,61,5015.24
94,70,90.9
29,2,2893.32
59,74,6588.03
26,55,3350.66
94,47,6947.27
33,15,4149.2
7,55,2965.52
99,92,6359.24
97,50,7775.18
51,17,2101.59
64,16,5825.94
65,94,7051.55
99,84,3538.28
100,13,5352.38
28,7,6153.56
60,68,4545.86
69,53,621.01
94,17,2782.91
3,97,4314.42
58,24,6681.29
62,70,2845.21
79,37,3369.08
8,68,1199.56
90,46,2064.88
1,60,7515.4
65,31,1943.4
98,62,71.07
50,88,7027.27
46,32,7127.19
95,28,822.82
6,64,6412.63
17,69,4194.83
92,43,3064.43
35,7,915.72
82,76,1015.49
47,42,1285.63
34,51,6267.4
56,18,4813.15
64,7,1444.23
37,32,153.48
22,2,4989.47
92,44,3237.13
1,38,5268.25
17,64,2435.4
41,83,158.51
64,33,7335.61
46,60,7510.03
34,4,2094.54
97,10,4896.5
32,99,2808.59
85,40,1956.87
72,64,3208.63
40,53,2551.55
86,98,7465.02
15,73,5745.59
43,82,4333.88
73,32,3584.62
69,83,5267.49
48,8,3285.28
50,58,6104.91
33,12,2826.69
52,50,1326.07
16,79,6073.54
72,28,4925.87
44,38,3141.58
20,53,7853.86
59,8,7062.85
22,80,6059.95
34,91,1434.16
45,85,1244.69
9,74,780.99
46,69,7171.44
61,12,3132.25
19,32,7063.64
63,98,208.44
63,16,866.7
45,4,5528.9
22,39,752.47
60,95,4313.68
13,36,1036.11
89,43,1158.47
96,78,5280.78
75,15,1020.25
63,69,7750.12
56,72,5842.68
84,98,6016.59
93,7,3487.51
98,33,3790.49
80,32,3435.76
87,95,4617.67
67,18,7411.84
60,99,7962.79
31,58,141.38
99,65,3144.8
60,95,3172.5
28,74,6373.24
88,95,1021.27
46,67,3746.07
37,82,484.28
40,2,884.22
96,55,2543.05
89,33,6555.79
23,85,2277.84
19,41,1725.56
18,13,3118.81
16,37,2724.49
24,67,7294.96
79,27,194.27
33,49,3688.36
83,84,6815.4
12,64,3395.52
47,94,5109.83
39,55,6771.31
16,5,2584.35
11,87,2246.55
58,60,6651.07
99,26,3027.17
88,62,5583.24
9,74,2414.31
56,32,6516.02
80,41,4451.45
94,43,5172.67
56,87,3311.8
84,84,5880.74
98,46,4918.05
75,73,6916.0
18,88,3349.19
75,66,4563.0
96,6,6939.63
56,6,903.86
96,17,5154.17
91,72,1051.49
64,68,1634.34
72,8,3384.64
85,36,424.86
14,86,7515.18
39,21,7740.09
17,10,2489.26
22,54,1423.75
31,58,1393.12
39,78,6571.24
98,45,315.52
18,44,2351.82
87,78,5979.44
87,91,2472.5
86,29,6452.22
85,75,197.44
65,42,1573.6
29,33,7226.39
45,47,7138.47
48,98,2617.85
28,69,1633.88
39,36,2516.33
18,93,149.72
75,79,6577.02
67,90,5257.88
96,74,3026.77
6,16,4113.4
36,11,2860.08
36,97,1585.04
6,39,7432.88
42,5,6914.41
36,74,3093.6
95,59,5653.61
5,79,2589.99
13,19,845.69
39,86,2335.67
51,24,7254.96
61,70,4467.75
2,33,7085.21
78,92,3031.35
51,79,655.27
44,95,4792.51
68,62,1373.23
76,69,3274.77
31,87,5895.83
77,35,728.82
10,75,4615.33
75,92,3447.5
80,46,7078.84
38,35,1874.2
53,32,6345.96
14,33,189.33
73,9,831.52
62,6,5693.05
59,76,6690.57
74,74,7992.72
61,5,5577.64
23,4,7420.82
91,23,2059.08
64,42,3692.27
55,73,5782.66
12,78,4310.88
42,20,873.31
52,58,1425.63
47,34,7266.07
83,43,2987.67
54,62,4943.04
64,32,6119.15
8,67,2962.66
29,68,742.23
92,39,1765.75
19,7,3068.6
68,10,3409.62
40,41,949.68
74,28,972.62
93,76,2797.49
36,93,738.12
12,74,5178.83
24,72,530.42
94,30,7843.27
78,58,2563.56
39,69,2371.7
57,81,2768.69
15,76,894.23
53,84,1072.6
28,30,3815.24
97,58,1821.1
35,45,85.84
24,69,1048.11
74,52,4057.92
61,63,1512.02
76,100,4717.97
9,55,317.66
34,15,6962.76
38,3,3183.6
34,65,1853.55
88,46,2907.36
35,100,6106.45
89,95,1517.61
40,70,4689.47
78,84,7625.27
18,85,7845.95
11,94,2353.76
86,50,2291.87
54,94,6506.75
40,31,5089.5
83,6,413.78
11,56,7232.41
33,76,889.27
97,52,1915.93
69,80,2368.41
26,77,1817.52
96,4,3300.97
45,86,3216.57
25,84,1597.78
